Day,Time,Altitude,Azimuth,BeamLux,DiffuseLux,DeltaMaxDose,DeltaAvgDose,MaxDose,AvgDose,MinDose,DoseVariance,Coverage,AvgSensorLux,AvgSensorDose,AvgSensorErrorPct,DeltaAvgDirectDose,DeltaAvgIndirectDose,DeltaMaxDirectDose,DeltaMaxIndirectDose,DirectCoverage
355,2026-12-21 09:23,4.207698,129.091,18984.53,2388.605,41.85027,6.451295,41.85027,6.451295,2.68891,32.99325,55.88728,0,0,0,0,6.451295,0,41.85027,0
355,2026-12-21 09:53,8.192046,134.7317,34865.14,3959.905,61.29468,10.69008,93.26618,17.14137,2.689576,89.84174,77.06583,0,0,0,0,10.69008,0,61.29468,0
355,2026-12-21 10:23,11.7952,140.682,45467.09,5030.603,79.54678,13.39114,153.59,30.53251,2.690317,141.8199,87.67136,0,0,0,0,13.39114,0,79.54678,0
355,2026-12-21 10:53,14.95621,146.9621,52595.51,5799.423,100.5677,15.24996,215.1479,45.78247,2.690317,182.7945,91.22228,0,0,0,0,15.24996,0,100.5677,0
355,2026-12-21 11:23,17.61228,153.5729,57456.1,6358.043,102.6651,16.60583,280.5151,62.3883,2.690317,216.7256,93.3493,2898.008,1449.004,12.01161,0,16.60583,0,102.6651,0
355,2026-12-21 11:53,19.70234,160.4901,60724.91,6753.64,121.5186,17.59107,385.4252,79.97937,2.690317,241.7224,94.75845,7477.217,5187.612,7.617764,0,17.59107,0,121.5186,0
355,2026-12-21 12:23,21.17195,167.6616,62782.3,7012.19,136.1288,18.26838,422.1528,98.24775,2.690317,256.7894,95.76878,12519.2,11447.21,6.010408,0,18.26838,0,136.1288,0
355,2026-12-21 12:53,21.97899,175.0076,63837.82,7147.988,122.0681,18.58249,448.5829,116.8302,2.690317,269.3061,96.51028,17346.51,20120.47,5.29884,0,18.58249,0,122.0681,0
355,2026-12-21 13:23,22.09882,182.4275,63990.35,7167.796,119.9754,18.58634,492.0215,135.4166,2.690317,269.3899,97.1277,21521.63,30881.29,4.658048,0,18.58634,0,119.9754,0
355,2026-12-21 13:53,21.52768,189.8112,63253.71,7072.566,113.8811,18.38769,575.0336,153.8043,2.690317,262.3216,97.63287,24962.63,43362.6,4.66847,0,18.38769,0,113.8812,0
355,2026-12-21 14:23,20.28324,197.0533,61560.07,6857.648,113.7367,17.83048,657.2812,171.6348,2.690317,248.1591,98.02282,27379.13,57052.16,4.576121,0,17.83048,0,113.7367,0
