Day,Time,Altitude,Azimuth,BeamLux,DiffuseLux,DeltaMaxDose,DeltaAvgDose,MaxDose,AvgDose,MinDose,DoseVariance,Coverage,AvgSensorLux,AvgSensorDose,AvgSensorErrorPct,DeltaAvgDirectDose,DeltaAvgIndirectDose,DeltaMaxDirectDose,DeltaMaxIndirectDose,DirectCoverage
355,2026-12-21 09:23,4.207698,129.091,18984.53,2388.605,196.7297,36.59426,196.7297,36.59426,2.689072,1083.106,90.78211,997.8287,0,16.3018,0,36.59426,0,196.7297,0
355,2026-12-21 09:53,8.192046,134.7317,34865.14,3959.905,342.6215,62.65794,539.3513,99.2522,2.702176,3229.181,96.03465,997.8287,0,16.3018,0,62.65794,0,342.6215,0
355,2026-12-21 10:23,11.7952,140.682,45467.09,5030.603,437.256,82.73296,966.501,181.9852,2.702176,5744.659,97.89579,997.8287,0,16.3018,0,82.73296,0,437.256,0
355,2026-12-21 10:53,14.95621,146.9621,52595.51,5799.423,16823.29,440.0975,17494.73,622.0826,2.702176,3624194,98.785,997.8287,0,16.3018,340.2666,99.83082,16415.2,530.1758,3.867028
355,2026-12-21 11:23,17.61228,153.5729,57456.1,6358.043,20644.87,1284.395,36854.87,1906.477,2.702176,1.554243E+07,99.42606,2899.776,1449.888,12.07994,1169.579,114.8154,20237.81,598.6163,10.21853
355,2026-12-21 11:53,19.70234,160.4901,60724.91,6753.64,21912.06,2333.643,58115.14,4240.12,2.702176,3.092776E+07,99.91645,7533.56,5216.668,8.428697,2205.794,127.8486,21410.48,732.5977,17.03383
355,2026-12-21 12:23,21.17195,167.6616,62782.3,7012.19,22787.74,3464.027,80531.3,7704.147,2.702176,4.617831E+07,100,12595.56,11514.45,6.657016,3325.848,138.1795,22138.53,742.8611,24.4577
355,2026-12-21 12:53,21.97899,175.0076,63837.82,7147.988,23142.08,4038.461,103545.9,11742.61,2.702176,5.191037E+07,100,17386.25,20207.57,5.540059,3893.801,144.6607,22512.64,769.675,29.18735
355,2026-12-21 13:23,22.09882,182.4275,63990.35,7167.796,30267.88,3845.551,126384,15588.16,2.702176,5.143308E+07,100,21617,31016.07,5.121832,3698.802,146.7489,29772.84,743.7065,27.93773
355,2026-12-21 13:53,21.52768,189.8112,63253.71,7072.566,22876.76,3505.221,141192.7,19093.38,2.702176,4.478708E+07,100,24981.75,43506.95,4.748679,3361.172,144.0487,22315.17,729.1296,27.52119
355,2026-12-21 14:23,20.28324,197.0533,61560.07,6857.648,22372.52,3258.663,160575.5,22352.04,2.702176,4.050202E+07,100,27367.82,57190.86,4.532901,3120.921,137.7418,21717.66,754.9634,26.21839
355,2026-12-21 14:53,18.40212,204.0658,58742.8,6511.668,21323.8,2785.446,181061.8,25137.49,2.702176,3.274782E+07,100,28745.13,71563.43,4.655795,2657.314,128.1322,20720.89,705.0952,23.6128
355,2026-12-21 15:23,15.93512,210.7867,54490.54,6013.396,19785.45,2396.783,199716.1,27534.27,2.702176,2.61939E+07,100,28889.21,86008.03,4.453842,2281.949,114.8339,19213.36,645.0479,21.89347
355,2026-12-21 15:53,12.94163,217.1822,48249.66,5324.634,17365.14,2094.523,215403.3,29628.79,2.702176,1.955672E+07,100,27916.34,99966.2,4.370795,1996.373,98.14991,17015.37,516.7886,21.89347
355,2026-12-21 16:23,9.484347,223.245,39031,4373.327,14071.8,1222.233,226160.1,30851.03,2.702176,8231690,100,25819.12,112875.8,4.238321,1144.99,77.24306,13760.42,434.5449,18.54047
355,2026-12-21 16:53,5.625162,228.9894,25166.06,3009.23,9036.813,433.4868,226341.5,31284.52,2.702176,1926346,100,22781.91,124266.7,4.504147,382.8021,50.68467,8862.063,330.3008,9.553835
355,2026-12-21 17:23,1.422525,234.4458,6430.693,901.671,2307.313,43.37275,226389,31327.89,1.027961,43320.14,100,18840.76,133687.1,4.8631,28.87441,14.49833,2251.492,92.34766,2.46379
356,2026-12-22 09:24,4.268214,129.1724,19258.52,2416.778,183.1953,36.90911,226521.5,31364.8,1.26465,1104.243,100,14243.65,140808.9,5.757396,0,36.90912,0,183.1973,0
356,2026-12-22 09:54,8.24748,134.8174,35053.14,3978.426,364.2891,62.94006,226737.6,31427.74,1.26465,3258.164,100,9239.469,145428.7,7.209807,0,62.94006,0,364.2861,0
356,2026-12-22 10:24,11.84469,140.7722,45592.38,5043.695,466.7813,83.14953,226961,31510.89,1.26465,5809.509,100,721.9446,147978.4,18.25876,0,83.14952,0,466.7915,0
356,2026-12-22 10:54,14.99886,147.0572,52680.81,5808.958,16851.17,450.2036,240797.4,31961.09,1.26465,3745951,100,721.9446,147978.4,18.25876,350.0061,100.1976,16457.08,564.6104,3.946791
356,2026-12-22 11:24,17.64717,153.6726,57514.34,6364.943,20583.36,1299.385,257717,33260.48,1.26465,1.577003E+07,100,2954.425,149455.6,11.83742,1184.298,115.0873,20259.64,660.873,10.3042
356,2026-12-22 11:54,19.72862,160.594,60763.34,6758.398,21970.78,2349.912,276882.6,35610.39,1.26465,3.117515E+07,100,7558.147,153234.7,7.703428,2221.842,128.0703,21423.03,704.5156,17.13723
356,2026-12-22 12:24,21.18891,167.7686,62805,7015.087,22817.64,3481.685,297727.6,39092.07,2.708005,4.63983E+07,100,12621.15,159545.2,6.237632,3343.325,138.3595,22145.58,814.4551,24.56996
356,2026-12-22 12:54,21.98613,175.1165,63846.94,7149.169,23143.98,4035.94,319747.3,43128.01,2.708005,5.191137E+07,100,17418.61,168254.5,5.323087,3891.657,144.2825,22516.97,799.123,29.15781
356,2026-12-22 13:24,22.09592,182.5367,63986.68,7167.319,31074.31,3842.023,342308.9,46970.04,2.708005,5.136188E+07,100,21593.66,179051.4,4.730993,3696.028,145.9956,30552.25,781.6064,28.01454
356,2026-12-22 13:54,21.51485,189.9192,63236.89,7070.403,22921.25,3501.635,364916.2,50471.67,2.708005,4.472732E+07,100,24960.28,191531.5,4.476501,3357.691,143.9438,22309.16,817.9766,27.51528
356,2026-12-22 14:24,20.26089,197.1585,61528.48,6853.689,22354.66,3253.205,386812.3,53724.88,2.708005,4.042168E+07,100,27333.38,205198.2,4.29389,3115.413,137.7918,21706.47,747.5879,26.14454
356,2026-12-22 14:54,18.37088,204.1673,58693.13,6505.69,21250.13,2778.006,407324.5,56502.88,2.708005,3.259608E+07,100,28663.92,219530.2,4.316889,2649.751,128.2547,20703.84,715.9932,23.59508
356,2026-12-22 15:24,15.8958,210.8837,54416.89,6004.993,19688.59,2397.826,425578.5,58900.71,2.708005,2.616233E+07,100,28866.95,233963.6,4.390789,2282.875,114.9515,19188.47,691.6006,21.93778
356,2026-12-22 15:54,12.89514,217.2745,48141.49,5313.07,17373.75,2085.711,440886.1,60986.42,2.708297,1.939544E+07,100,27913.1,247920.2,4.438409,1987.845,97.86665,16977.78,579.0566,21.92892
356,2026-12-22 16:24,9.431584,223.3326,38869.49,4357.159,13978.69,1210.244,452440.4,62196.66,2.843712,8100275,100,25941.53,260890.9,4.882634,1133.369,76.87543,13703.52,420.9785,18.49025
356,2026-12-22 16:54,5.567009,229.0727,24923.31,2985.284,8979.656,423.2159,452590.4,62619.88,2.843712,1866619,100,22829.18,272305.5,4.957069,373.0071,50.20884,8776.578,275.0928,9.40908
356,2026-12-22 17:24,1.3598,234.5253,6181.431,863.6946,2213.734,41.26472,452639.4,62661.14,1.095717,39588.49,100,18880.2,281745.6,5.436678,27.40603,13.85869,2164.281,74.49121,2.42834
357,2026-12-23 09:24,4.205147,129.0772,18972.96,2387.415,212.3125,36.48093,452797.2,62697.63,2.760428,1078.261,100,14164.4,288827.8,5.703315,0,36.48095,0,212.3203,0
